ax,ay,az,gx,gy,gz,mx,my,mz,acc_mag,rms_acc,acc_var,classification
0.82,-0.18,0.43,-13.92,-69.15,76.05,38.0,-46.0,14.0,0.943239100122551,,,Unknown
0.77,-0.01,0.68,-21.3,-65.61,71.41,38.0,-40.0,11.0,1.0273266277090263,,,Unknown
0.66,0.07,0.72,7.51,-59.81,62.38,39.0,-36.0,15.0,0.9792343948207702,,,Unknown
0.54,0.16,0.81,15.56,-52.0,52.12,36.0,-34.0,8.0,0.9865596788841515,,,Unknown
0.45,0.19,0.87,2.81,-43.27,46.63,37.0,-31.0,10.0,0.9977474630386188,,,Unknown
0.38,0.21,0.91,26.92,-27.1,34.12,31.0,-26.0,9.0,1.008265837961398,,,Unknown
0.34,0.14,0.89,21.0,-19.59,28.38,27.0,-28.0,10.0,0.9629641737884126,,,Unknown
0.3,0.17,0.96,3.42,-14.28,20.87,25.0,-31.0,16.0,1.0200490184299968,,,Unknown
0.27,0.18,0.94,7.81,-5.8,18.01,24.0,-28.0,12.0,0.9944345126754199,,,Unknown
0.25,0.16,0.92,8.3,-8.36,18.55,20.0,-36.0,14.0,0.9666954018717582,,,Unknown
0.24,0.13,0.95,17.94,-8.0,17.15,13.0,-39.0,13.0,0.9884331034521254,,,Unknown
0.23,0.1,1.03,12.21,-2.32,17.7,11.0,-43.0,19.0,1.0600943354249186,,,Unknown
0.21,0.1,1.01,14.1,3.36,19.17,6.0,-48.0,7.0,1.0364362016062543,,,Unknown
0.23,0.04,1.0,31.68,17.64,18.68,6.0,-49.0,-3.0,1.0268885041717042,,,Unknown
0.3,-0.02,1.02,33.69,30.21,22.89,5.0,-48.0,-10.0,1.0633908030446755,,,Unknown
0.34,-0.08,0.99,53.59,43.76,23.8,4.0,-48.0,-15.0,1.0498095065296371,,,Unknown
0.44,-0.11,1.0,50.96,56.58,20.02,4.0,-43.0,-15.0,1.0980437149767763,,,Unknown
0.55,-0.15,0.87,50.72,93.02,10.86,2.0,-52.0,-21.0,1.0401442207694085,,,Unknown
0.71,-0.24,0.68,18.13,94.85,5.8,2.0,-57.0,-22.0,1.0119782606360672,,,Unknown
0.8,-0.25,0.55,-3.54,94.73,0.06,0.0,-56.0,-28.0,1.002496882788171,,,Unknown
0.87,-0.27,0.35,11.35,89.54,-17.7,2.0,-61.0,-25.0,0.9758585963140356,,,Unknown
0.91,-0.27,0.2,14.1,95.21,-18.68,1.0,-59.0,-34.0,0.970051545022222,,,Unknown
0.9,-0.32,-0.06,-107.6,72.57,-10.74,1.0,-64.0,-36.0,0.957078889120432,,,Unknown
