ax,ay,az,gx,gy,gz,mx,my,mz
0.37,-0.85,-0.23,229.13,-29.17,-27.89,60.00,-20.00,9.00
0.04,0.05,0.24,30.03,-50.90,-12.70,53.00,-19.00,7.00
0.40,-0.28,0.71,37.23,48.34,46.26,58.00,-13.00,8.00
0.48,-0.46,0.97,277.16,72.63,147.34,53.00,-18.00,17.00
0.52,0.63,1.71,200.74,355.96,133.06,5.00,-53.00,-9.00
0.36,-0.83,-0.35,-371.46,-371.89,85.08,20.00,-41.00,4.00
0.52,-1.86,1.38,-338.75,-107.48,-126.95,50.00,-14.00,2.00
-0.52,1.53,1.42,-202.51,-237.12,-189.09,54.00,-10.00,-1.00
0.28,-0.01,1.19,-120.79,-215.03,-95.89,60.00,0.00,-13.00
-0.32,0.27,0.97,126.83,-107.06,72.57,54.00,7.00,-10.00
-0.72,0.01,2.59,-277.16,18.92,-343.57,55.00,20.00,-12.00
-0.69,1.79,0.48,85.02,149.72,320.68,66.00,-2.00,-9.00
-0.63,1.79,0.20,162.78,159.73,58.04,47.00,-12.00,5.00
0.42,0.29,1.20,233.03,163.88,230.29,44.00,-17.00,6.00
0.57,1.95,2.17,161.80,14.34,-88.93,37.00,-21.00,15.00
1.34,-0.03,1.73,-319.82,13.06,-167.42,50.00,-15.00,6.00
-1.31,-1.37,1.47,262.27,102.84,148.86,57.00,-11.00,-1.00
0.14,-1.31,0.27,-79.53,-61.40,85.88,54.00,-19.00,1.00
0.26,0.27,1.27,57.68,-37.96,125.06,64.00,-13.00,0.00
0.64,0.02,1.45,-2.69,-85.69,101.01,64.00,-10.00,0.00
0.82,-0.18,1.62,-15.44,-64.09,91.37,62.00,-6.00,-4.00
0.49,0.35,1.63,40.34,-58.59,135.07,64.00,-6.00,-2.00
0.07,0.73,1.21,-99.18,-39.86,118.96,65.00,-3.00,0.00
-0.09,0.41,0.70,-202.51,-96.92,101.07,64.00,-8.00,0.00
-0.37,1.32,0.93,-180.91,-69.03,169.74,71.00,-2.00,-22.00
-0.25,0.42,1.40,31.62,12.21,185.61,72.00,-4.00,-24.00
0.25,-0.59,0.97,136.05,39.49,52.67,69.00,-6.00,-15.00
0.06,-0.18,1.44,-69.89,-325.50,-6.10,66.00,-9.00,-2.00
0.29,-1.68,2.46,-62.93,-207.89,39.12,68.00,-1.00,-26.00
0.45,-1.53,1.51,-138.24,-102.42,77.88,69.00,0.00,-25.00
0.45,-1.40,1.34,-105.04,-34.36,180.36,71.00,0.00,-13.00
-0.09,-1.05,-0.45,-67.02,-74.95,18.37,66.00,-3.00,-6.00
0.01,-0.81,1.04,-97.60,-110.05,133.67,65.00,-6.00,-13.00
-0.19,-1.49,0.42,-37.23,-69.52,147.95,65.00,-5.00,-10.00
-0.16,-0.99,0.77,37.96,-25.76,104.31,63.00,-7.00,-14.00
-0.09,-1.06,0.16,-43.82,6.16,-0.79,59.00,-9.00,-9.00
0.11,-0.66,0.32,90.58,-6.41,-50.17,70.00,-8.00,-6.00
