ax,ay,az,gx,gy,gz,mx,my,mz
0.05,0.54,0.37,-45.72,-5.43,126.65,59.00,-52.00,17.00
-0.26,1.17,0.90,23.13,2.14,13.43,56.00,-49.00,21.00
-0.14,1.01,0.94,-24.78,26.12,-104.43,51.00,-54.00,13.00
0.25,0.29,0.53,-37.41,69.64,-163.88,52.00,-59.00,17.00
0.74,-0.01,-0.07,-70.98,-27.83,-69.27,53.00,-61.00,15.00
0.89,0.34,0.01,-12.76,-64.09,-88.81,56.00,-62.00,14.00
1.67,0.39,0.54,-29.42,-39.86,-88.62,63.00,-54.00,23.00
1.55,0.58,0.73,43.64,121.83,-73.79,63.00,-56.00,25.00
0.82,0.27,0.04,34.24,157.65,-114.93,52.00,-68.00,14.00
0.52,-0.36,-0.19,50.29,119.69,-155.46,44.00,-76.00,6.00
0.22,-0.50,-0.30,-124.21,48.03,-119.51,36.00,-83.00,-1.00
0.38,-1.80,-0.17,21.18,-30.46,19.10,34.00,-79.00,2.00
0.17,-0.77,-0.31,76.05,-106.45,254.64,39.00,-79.00,1.00
0.20,0.46,0.16,-86.98,-182.13,212.34,48.00,-75.00,9.00
0.62,0.95,0.67,-40.83,-46.33,13.31,62.00,-56.00,15.00
1.18,0.20,0.04,85.57,73.79,-258.00,66.00,-59.00,17.00
1.82,-1.54,-0.02,3.30,70.43,-115.91,58.00,-68.00,16.00
0.94,-0.53,-0.42,9.52,-59.27,108.22,57.00,-70.00,12.00
0.44,0.18,-0.11,-67.50,-280.58,179.93,68.00,-48.00,18.00
-0.67,0.18,0.33,-29.79,-435.49,187.81,67.00,-17.00,4.00
-1.40,0.33,0.44,-113.71,-370.97,144.23,57.00,3.00,-32.00
-1.02,-0.04,0.49,-81.73,22.71,200.87,34.00,-14.00,-60.00
-1.05,-0.33,1.07,-44.92,371.03,165.10,16.00,6.00,-58.00
-0.24,-0.10,1.32,-154.54,386.47,30.88,-13.00,-10.00,1.00
0.35,0.22,0.97,-167.24,472.60,-72.08,7.00,-50.00,6.00
0.90,0.35,-0.11,-298.65,320.86,-187.93,27.00,-83.00,-4.00
0.37,-1.84,-1.65,211.67,-2.08,281.92,30.00,-85.00,-9.00
-0.30,-0.35,-0.83,70.01,-334.35,384.52,50.00,-84.00,3.00
-1.04,0.08,0.85,172.67,-401.61,378.36,56.00,-47.00,18.00
-1.00,-0.12,0.99,101.68,-211.18,289.43,15.00,-19.00,-11.00
-0.74,-0.38,1.18,48.95,153.75,195.13,0.00,-34.00,-20.00
-0.61,-0.60,1.44,-130.49,368.96,192.87,1.00,-62.00,-19.00
0.16,-0.37,0.66,-104.49,319.09,31.13,10.00,-78.00,-28.00
0.85,-0.24,0.23,-242.07,333.80,-54.81,12.00,-81.00,-40.00
0.86,-0.52,-0.89,-482.48,60.30,-167.05,12.00,-76.00,-19.00
0.39,-0.63,-1.38,-317.87,-24.72,374.51,28.00,-75.00,4.00
-0.12,0.09,-0.11,43.27,-159.48,424.07,75.00,-48.00,14.00
-1.48,0.43,0.88,224.49,-304.38,392.76,39.00,-20.00,5.00
-0.85,-0.51,0.99,69.03,-150.15,209.35,16.00,-17.00,-12.00
-0.95,-0.23,1.11,200.81,170.78,245.18,1.00,-23.00,-3.00
-0.72,-0.90,1.84,-286.87,404.48,156.01,8.00,-74.00,-38.00
0.11,-0.14,0.94,-387.33,445.62,-72.20,9.00,-78.00,-32.00
0.40,-0.85,-0.20,-550.84,314.45,-230.10,12.00,-77.00,-15.00
0.87,-1.89,-0.66,-309.57,129.21,128.72,18.00,-73.00,-5.00
0.30,-0.75,-1.39,-259.03,-58.41,313.48,68.00,-83.00,0.00
0.29,-0.05,-0.22,261.78,-217.71,113.34,78.00,-61.00,8.00
0.36,-0.22,0.48,-61.89,-180.66,94.06,76.00,-44.00,11.00
0.25,0.29,0.99,-0.24,-146.85,94.42,76.00,-29.00,5.00
0.07,0.41,1.00,-100.16,-109.37,81.05,64.00,-12.00,-8.00
-0.11,0.75,1.30,-26.86,-73.49,17.21,62.00,-5.00,-18.00
-0.18,0.17,1.04,9.58,-22.77,-8.18,60.00,-6.00,-22.00
-0.07,0.21,0.88,313.23,27.47,-22.89,59.00,-4.00,-20.00
0.17,-0.02,1.42,-30.21,61.52,-11.60,56.00,-4.00,-16.00
0.03,-0.12,1.01,30.21,-2.08,4.94,57.00,-4.00,-15.00
0.18,-0.18,1.01,75.87,4.76,30.52,55.00,-5.00,-14.00
0.08,-0.21,1.04,-89.54,19.53,0.67,53.00,-4.00,-17.00
0.04,-0.22,0.99,-2.62,-0.67,-0.92,53.00,-5.00,-14.00
0.04,-0.21,0.98,-5.37,-0.18,-0.43,55.00,-4.00,-21.00
0.04,-0.20,0.99,-4.82,-0.06,-0.37,54.00,-7.00,-12.00
0.04,-0.19,0.99,-3.66,0.00,-0.49,54.00,-6.00,-14.00
